report_date,report_type,location,site,department,contractor,reporter_role,description,severity,planted_pattern
2026-06-16,UNSAFE_CONDITION,Site Bravo,Site Foxtrot,HSE,Contractor-Summit Rigging Co,Operator,Trip hazard from a loose cable was reported and fixed same day.,MODERATE,
2026-03-18,UNSAFE_ACT,Site Alpha,Site Echo,Operations,Contractor-Delta Wellsite Services,Safety Officer,Signage for emergency assembly point was faded and needs replacement.,MODERATE,
2026-08-14,NEAR_MISS,Site Alpha,Site Alpha,Drilling,Contractor-Pinnacle Contractors,Technician,First aid kit in the workshop was missing a few items.,HIGH,
2026-07-13,UNSAFE_ACT,Site Echo,Site Foxtrot,Maintenance,Contractor-Delta Wellsite Services,Foreman,Noise levels in the compressor room exceeded comfort but PPE was in use.,LOW,
2026-08-08,UNSAFE_ACT,Site Delta,Site Alpha,Logistics,Contractor-Northstar Industrial,Engineer,Minor spill of lubricant was cleaned up promptly with no injury.,MODERATE,
2026-05-17,NEAR_MISS,Site Foxtrot,Site Charlie,Operations,Contractor-Pinnacle Contractors,Operator,LOTO checklist was not verified before crew began work on the compressor.,MODERATE,electrical_isolation
2026-07-23,UNSAFE_ACT,Site Delta,Site Charlie,HSE,Contractor-Pinnacle Contractors,Engineer,Signage for emergency assembly point was faded and needs replacement.,LOW,
2026-04-08,UNSAFE_ACT,Site Delta,Site Foxtrot,Drilling,Contractor-Ironclad Scaffolding,Foreman,Temporary lighting was insufficient in the storage yard at night.,MODERATE,
2026-08-13,NEAR_MISS,Site Echo,Site Delta,HSE,Contractor-Summit Rigging Co,Technician,Rescue equipment was unavailable at the confined space work site.,HIGH,confined_space
2026-06-21,UNSAFE_ACT,Site Bravo,Site Echo,Logistics,Contractor-Redline Maintenance Group,Engineer,Worker used an unsafe ladder that was not rated for the task.,LOW,working_at_height
2026-03-18,NEAR_MISS,Site Bravo,Site Charlie,Maintenance,Contractor-Orion Field Services,Technician,Waste segregation bins were not properly labeled at the site office.,LOW,
2026-04-14,UNSAFE_CONDITION,Site Delta,Site Foxtrot,Maintenance,Contractor-Vantage Energy Services,Operator,Temporary lighting was insufficient in the storage yard at night.,MODERATE,
2026-03-09,UNSAFE_CONDITION,Site Charlie,Site Bravo,Maintenance,Contractor-Vantage Energy Services,Operator,First aid kit in the workshop was missing a few items.,HIGH,
2026-06-27,UNSAFE_CONDITION,Site Foxtrot,Site Bravo,Operations,Contractor-Pinnacle Contractors,Engineer,Waste segregation bins were not properly labeled at the site office.,MODERATE,
2026-05-05,UNSAFE_CONDITION,Site Echo,Site Echo,Logistics,Contractor-Meridian Fabrication,Safety Officer,Signage for emergency assembly point was faded and needs replacement.,MODERATE,
2026-05-21,NEAR_MISS,Site Delta,Site Alpha,Operations,Contractor-Summit Rigging Co,Foreman,Fire extinguisher inspection tag found expired in the break room.,HIGH,
2026-04-19,NEAR_MISS,Site Foxtrot,Site Charlie,Maintenance,Contractor-Beacon Electrical Works,Engineer,Signage for emergency assembly point was faded and needs replacement.,LOW,
2026-03-30,UNSAFE_ACT,Site Charlie,Site Charlie,Logistics,Contractor-Atlas Mechanical,Site Supervisor,Trip hazard from a loose cable was reported and fixed same day.,HIGH,
2026-06-30,UNSAFE_CONDITION,Site Charlie,Site Charlie,Maintenance,Contractor-Delta Wellsite Services,Foreman,"Minor vehicle scratch reported during routine parking maneuver, no injury.",HIGH,
2026-06-13,UNSAFE_ACT,Site Delta,Site Echo,Pipeline Integrity,Contractor-Delta Wellsite Services,Safety Officer,"Minor vehicle scratch reported during routine parking maneuver, no injury.",HIGH,
2026-07-04,NEAR_MISS,Site Alpha,Site Charlie,Pipeline Integrity,Contractor-Northstar Industrial,Foreman,First aid kit in the workshop was missing a few items.,HIGH,
2026-07-10,UNSAFE_CONDITION,Site Echo,Site Delta,Logistics,Contractor-Ironclad Scaffolding,Operator,Water leakage from a faucet reported in the site canteen.,MODERATE,
2026-06-30,UNSAFE_CONDITION,Site Charlie,Site Delta,Operations,Contractor-Meridian Fabrication,Safety Officer,Housekeeping issue noted in the tool storage area.,LOW,
2026-05-29,NEAR_MISS,Site Alpha,Site Echo,Logistics,Contractor-Atlas Mechanical,Safety Officer,Temporary lighting was insufficient in the storage yard at night.,LOW,
2026-02-27,UNSAFE_CONDITION,Site Alpha,Site Foxtrot,Logistics,Contractor-Delta Wellsite Services,Foreman,Trip hazard from a loose cable was reported and fixed same day.,LOW,
2026-08-06,UNSAFE_CONDITION,Site Charlie,Site Bravo,Drilling,Contractor-Atlas Mechanical,Technician,Fire extinguisher inspection tag found expired in the break room.,HIGH,
2026-05-19,UNSAFE_CONDITION,Site Alpha,Site Charlie,Drilling,Contractor-Summit Rigging Co,Safety Officer,Noise levels in the compressor room exceeded comfort but PPE was in use.,MODERATE,
2026-07-05,NEAR_MISS,Site Echo,Site Charlie,Drilling,Contractor-Orion Field Services,Engineer,Isolation certificate was missing when crew started work on the motor.,HIGH,electrical_isolation
2026-08-01,NEAR_MISS,Site Bravo,Site Foxtrot,Pipeline Integrity,Contractor-Northstar Industrial,Foreman,Water leakage from a faucet reported in the site canteen.,HIGH,
2026-08-24,NEAR_MISS,Site Bravo,Site Delta,HSE,Contractor-Ironclad Scaffolding,Operator,Fire extinguisher inspection tag found expired in the break room.,HIGH,
2026-03-20,UNSAFE_ACT,Site Charlie,Site Foxtrot,Maintenance,Contractor-Pinnacle Contractors,Foreman,Noise levels in the compressor room exceeded comfort but PPE was in use.,MODERATE,
2026-04-12,UNSAFE_CONDITION,Site Charlie,Site Charlie,Drilling,Contractor-Orion Field Services,Technician,Missing PTW was discovered during a routine safety walkdown.,HIGH,permit_to_work
2026-04-13,NEAR_MISS,Site Foxtrot,Site Alpha,Logistics,Contractor-Northstar Industrial,Operator,"Minor vehicle scratch reported during routine parking maneuver, no injury.",MODERATE,
2026-08-10,UNSAFE_CONDITION,Site Echo,Site Charlie,HSE,Contractor-Redline Maintenance Group,Foreman,Minor spill of lubricant was cleaned up promptly with no injury.,MODERATE,
2026-04-18,UNSAFE_CONDITION,Site Delta,Site Echo,Logistics,Contractor-Redline Maintenance Group,Technician,Water leakage from a faucet reported in the site canteen.,MODERATE,
2026-03-16,UNSAFE_ACT,Site Alpha,Site Foxtrot,Logistics,Contractor-Orion Field Services,Operator,Employee suggestion box was overflowing and needs regular clearing.,MODERATE,
2026-04-10,UNSAFE_ACT,Site Alpha,Site Delta,Operations,Contractor-Atlas Mechanical,Engineer,First aid kit in the workshop was missing a few items.,MODERATE,
2026-07-20,NEAR_MISS,Site Echo,Site Charlie,Logistics,Contractor-Orion Field Services,Engineer,Maintenance was carried out without confirming equipment isolation on the panel.,LOW,electrical_isolation
2026-07-29,UNSAFE_ACT,Site Bravo,Site Echo,Logistics,Contractor-Pinnacle Contractors,Operator,Fire extinguisher inspection tag found expired in the break room.,LOW,
2026-08-14,NEAR_MISS,Site Foxtrot,Site Charlie,Pipeline Integrity,Contractor-Delta Wellsite Services,Operator,Isolation tag was removed before work was actually complete.,LOW,electrical_isolation
2026-07-20,UNSAFE_ACT,Site Alpha,Site Alpha,Logistics,Contractor-Coastal Logistics,Operator,"Minor vehicle scratch reported during routine parking maneuver, no injury.",HIGH,
2026-07-08,NEAR_MISS,Site Foxtrot,Site Foxtrot,Logistics,Contractor-Orion Field Services,Operator,Housekeeping issue noted in the tool storage area.,LOW,
2026-03-01,NEAR_MISS,Site Bravo,Site Foxtrot,Pipeline Integrity,Contractor-Vantage Energy Services,Operator,Fire extinguisher inspection tag found expired in the break room.,MODERATE,
2026-03-30,UNSAFE_ACT,Site Delta,Site Delta,Pipeline Integrity,Contractor-Pinnacle Contractors,Site Supervisor,Missing barricade at an open edge on the tank platform.,HIGH,working_at_height
2026-03-20,UNSAFE_ACT,Site Bravo,Site Charlie,Pipeline Integrity,Contractor-Ironclad Scaffolding,Safety Officer,First aid kit in the workshop was missing a few items.,HIGH,
2026-07-09,UNSAFE_ACT,Site Delta,Site Alpha,Logistics,Contractor-Orion Field Services,Engineer,Expired permit was used to authorize work on the process unit.,LOW,permit_to_work
2026-07-16,NEAR_MISS,Site Bravo,Site Bravo,HSE,Contractor-Beacon Electrical Works,Foreman,Waste segregation bins were not properly labeled at the site office.,MODERATE,
2026-08-04,UNSAFE_ACT,Site Foxtrot,Site Delta,Pipeline Integrity,Contractor-Redline Maintenance Group,Foreman,Fire extinguisher inspection tag found expired in the break room.,MODERATE,
2026-06-25,UNSAFE_ACT,Site Alpha,Site Alpha,Logistics,Contractor-Vantage Energy Services,Operator,Minor spill of lubricant was cleaned up promptly with no injury.,HIGH,
2026-05-08,UNSAFE_CONDITION,Site Bravo,Site Foxtrot,Logistics,Contractor-Coastal Logistics,Engineer,Housekeeping issue noted in the tool storage area.,HIGH,
2026-06-24,NEAR_MISS,Site Charlie,Site Delta,Pipeline Integrity,Contractor-Delta Wellsite Services,Operator,Water leakage from a faucet reported in the site canteen.,LOW,
2026-08-12,NEAR_MISS,Site Bravo,Site Bravo,Maintenance,Contractor-Ironclad Scaffolding,Foreman,Housekeeping issue noted in the tool storage area.,LOW,
2026-05-11,UNSAFE_ACT,Site Bravo,Site Foxtrot,Drilling,Contractor-Coastal Logistics,Engineer,Housekeeping issue noted in the tool storage area.,HIGH,
2026-07-17,UNSAFE_CONDITION,Site Charlie,Site Foxtrot,HSE,Contractor-Ironclad Scaffolding,Technician,Minor spill of lubricant was cleaned up promptly with no injury.,HIGH,
2026-05-27,UNSAFE_ACT,Site Echo,Site Echo,Operations,Contractor-Meridian Fabrication,Engineer,First aid kit in the workshop was missing a few items.,MODERATE,
2026-07-21,NEAR_MISS,Site Charlie,Site Delta,Logistics,Contractor-Ironclad Scaffolding,Site Supervisor,Minor spill of lubricant was cleaned up promptly with no injury.,HIGH,
2026-04-10,UNSAFE_CONDITION,Site Bravo,Site Delta,Drilling,Contractor-Ironclad Scaffolding,Safety Officer,Housekeeping issue noted in the tool storage area.,LOW,
2026-07-20,NEAR_MISS,Site Foxtrot,Site Charlie,HSE,Contractor-Beacon Electrical Works,Operator,Waste segregation bins were not properly labeled at the site office.,MODERATE,
2026-06-09,UNSAFE_ACT,Site Bravo,Site Echo,Maintenance,Contractor-Northstar Industrial,Engineer,Housekeeping issue noted in the tool storage area.,LOW,
2026-07-15,UNSAFE_ACT,Site Bravo,Site Foxtrot,Maintenance,Contractor-Beacon Electrical Works,Safety Officer,Fire extinguisher inspection tag found expired in the break room.,MODERATE,
2026-04-19,UNSAFE_ACT,Site Foxtrot,Site Delta,Logistics,Contractor-Atlas Mechanical,Operator,Signage for emergency assembly point was faded and needs replacement.,LOW,
2026-06-30,UNSAFE_CONDITION,Site Charlie,Site Alpha,Pipeline Integrity,Contractor-Vantage Energy Services,Operator,Housekeeping issue noted in the tool storage area.,HIGH,
2026-05-26,UNSAFE_CONDITION,Site Delta,Site Echo,Maintenance,Contractor-Meridian Fabrication,Engineer,Waste segregation bins were not properly labeled at the site office.,HIGH,
2026-07-12,UNSAFE_CONDITION,Site Echo,Site Charlie,Logistics,Contractor-Summit Rigging Co,Engineer,Noise levels in the compressor room exceeded comfort but PPE was in use.,HIGH,
2026-06-05,UNSAFE_CONDITION,Site Alpha,Site Alpha,Maintenance,Contractor-Atlas Mechanical,Operator,Trip hazard from a loose cable was reported and fixed same day.,MODERATE,
2026-08-19,UNSAFE_CONDITION,Site Foxtrot,Site Charlie,Pipeline Integrity,Contractor-Pinnacle Contractors,Engineer,Missing barricade at an open edge on the tank platform.,LOW,working_at_height
2026-04-27,NEAR_MISS,Site Foxtrot,Site Bravo,Operations,Contractor-Pinnacle Contractors,Foreman,"Minor vehicle scratch reported during routine parking maneuver, no injury.",LOW,
2026-04-23,UNSAFE_CONDITION,Site Charlie,Site Bravo,Maintenance,Contractor-Atlas Mechanical,Operator,Contractor started grinding work without an approved hot work permit.,LOW,permit_to_work
2026-08-04,UNSAFE_CONDITION,Site Delta,Site Bravo,Maintenance,Contractor-Ironclad Scaffolding,Foreman,Electrical panel remained live during scheduled inspection.,LOW,electrical_isolation
2026-07-21,UNSAFE_ACT,Site Bravo,Site Delta,Drilling,Contractor-Delta Wellsite Services,Operator,Water leakage from a faucet reported in the site canteen.,LOW,
2026-05-13,UNSAFE_ACT,Site Charlie,Site Echo,Operations,Contractor-Orion Field Services,Technician,Employee suggestion box was overflowing and needs regular clearing.,MODERATE,
2026-03-27,UNSAFE_CONDITION,Site Echo,Site Echo,Logistics,Contractor-Ironclad Scaffolding,Engineer,First aid kit in the workshop was missing a few items.,HIGH,
2026-04-17,UNSAFE_ACT,Site Alpha,Site Alpha,Operations,Contractor-Vantage Energy Services,Operator,Signage for emergency assembly point was faded and needs replacement.,MODERATE,
2026-04-03,NEAR_MISS,Site Delta,Site Charlie,HSE,Contractor-Northstar Industrial,Engineer,Fire extinguisher inspection tag found expired in the break room.,MODERATE,
2026-07-25,UNSAFE_ACT,Site Delta,Site Delta,Maintenance,Contractor-Beacon Electrical Works,Site Supervisor,Minor spill of lubricant was cleaned up promptly with no injury.,HIGH,
2026-05-17,UNSAFE_CONDITION,Site Foxtrot,Site Alpha,Pipeline Integrity,Contractor-Ironclad Scaffolding,Site Supervisor,"Minor vehicle scratch reported during routine parking maneuver, no injury.",LOW,
2026-08-18,UNSAFE_CONDITION,Site Alpha,Site Charlie,HSE,Contractor-Ironclad Scaffolding,Engineer,Reverse alarm on the site vehicle was found to be non-functional.,MODERATE,vehicle_pedestrian
2026-04-07,NEAR_MISS,Site Foxtrot,Site Foxtrot,HSE,Contractor-Vantage Energy Services,Site Supervisor,Noise levels in the compressor room exceeded comfort but PPE was in use.,MODERATE,
2026-05-03,NEAR_MISS,Site Foxtrot,Site Charlie,Maintenance,Contractor-Coastal Logistics,Technician,"Minor vehicle scratch reported during routine parking maneuver, no injury.",LOW,
2026-06-09,UNSAFE_CONDITION,Site Alpha,Site Foxtrot,HSE,Contractor-Northstar Industrial,Safety Officer,Temporary lighting was insufficient in the storage yard at night.,HIGH,
2026-04-07,UNSAFE_CONDITION,Site Echo,Site Alpha,Pipeline Integrity,Contractor-Northstar Industrial,Safety Officer,Contractor started grinding work without an approved hot work permit.,MODERATE,permit_to_work
2026-08-18,NEAR_MISS,Site Echo,Site Bravo,Pipeline Integrity,Contractor-Coastal Logistics,Operator,Trip hazard from a loose cable was reported and fixed same day.,MODERATE,
2026-03-22,UNSAFE_CONDITION,Site Bravo,Site Alpha,Pipeline Integrity,Contractor-Northstar Industrial,Technician,Temporary lighting was insufficient in the storage yard at night.,LOW,
2026-07-17,NEAR_MISS,Site Delta,Site Charlie,Drilling,Contractor-Ironclad Scaffolding,Technician,Water leakage from a faucet reported in the site canteen.,HIGH,
2026-07-25,UNSAFE_CONDITION,Site Delta,Site Delta,HSE,Contractor-Ironclad Scaffolding,Operator,First aid kit in the workshop was missing a few items.,MODERATE,
2026-03-10,UNSAFE_ACT,Site Alpha,Site Charlie,Drilling,Contractor-Pinnacle Contractors,Safety Officer,Housekeeping issue noted in the tool storage area.,HIGH,
2026-07-07,UNSAFE_ACT,Site Echo,Site Delta,HSE,Contractor-Ironclad Scaffolding,Technician,Contractor started grinding work without an approved hot work permit.,MODERATE,permit_to_work
2026-08-16,UNSAFE_CONDITION,Site Delta,Site Delta,Pipeline Integrity,Contractor-Orion Field Services,Operator,Truck reversed into a restricted pedestrian zone without a signal.,HIGH,vehicle_pedestrian
2026-05-23,NEAR_MISS,Site Delta,Site Bravo,HSE,Contractor-Delta Wellsite Services,Site Supervisor,Waste segregation bins were not properly labeled at the site office.,LOW,
2026-08-13,NEAR_MISS,Site Foxtrot,Site Delta,Pipeline Integrity,Contractor-Coastal Logistics,Foreman,Fire extinguisher inspection tag found expired in the break room.,HIGH,
2026-06-29,UNSAFE_CONDITION,Site Foxtrot,Site Alpha,HSE,Contractor-Pinnacle Contractors,Technician,Employee suggestion box was overflowing and needs regular clearing.,LOW,
2026-07-16,UNSAFE_ACT,Site Bravo,Site Foxtrot,Operations,Contractor-Atlas Mechanical,Foreman,Signage for emergency assembly point was faded and needs replacement.,HIGH,
2026-06-30,UNSAFE_ACT,Site Echo,Site Foxtrot,Operations,Contractor-Delta Wellsite Services,Engineer,Electrical isolation point was not physically verified with a multimeter.,LOW,electrical_isolation
2026-08-06,NEAR_MISS,Site Alpha,Site Charlie,Logistics,Contractor-Coastal Logistics,Operator,Fire extinguisher inspection tag found expired in the break room.,HIGH,
2026-03-31,UNSAFE_CONDITION,Site Charlie,Site Alpha,HSE,Contractor-Beacon Electrical Works,Technician,Missing barricade at an open edge on the tank platform.,HIGH,working_at_height
2026-06-22,UNSAFE_ACT,Site Echo,Site Charlie,Drilling,Contractor-Atlas Mechanical,Technician,First aid kit in the workshop was missing a few items.,HIGH,
2026-06-01,NEAR_MISS,Site Delta,Site Charlie,Pipeline Integrity,Contractor-Summit Rigging Co,Operator,Trip hazard from a loose cable was reported and fixed same day.,HIGH,
2026-06-27,UNSAFE_ACT,Site Foxtrot,Site Bravo,Maintenance,Contractor-Orion Field Services,Foreman,Temporary lighting was insufficient in the storage yard at night.,MODERATE,
2026-04-10,UNSAFE_ACT,Site Foxtrot,Site Echo,Operations,Contractor-Northstar Industrial,Technician,Temporary lighting was insufficient in the storage yard at night.,HIGH,
2026-04-08,UNSAFE_CONDITION,Site Foxtrot,Site Bravo,HSE,Contractor-Ironclad Scaffolding,Engineer,Noise levels in the compressor room exceeded comfort but PPE was in use.,MODERATE,
2026-06-28,UNSAFE_CONDITION,Site Foxtrot,Site Bravo,Maintenance,Contractor-Orion Field Services,Foreman,Employee suggestion box was overflowing and needs regular clearing.,MODERATE,
2026-05-16,UNSAFE_CONDITION,Site Alpha,Site Delta,HSE,Contractor-Beacon Electrical Works,Site Supervisor,Trip hazard from a loose cable was reported and fixed same day.,MODERATE,
2026-07-19,UNSAFE_ACT,Site Bravo,Site Charlie,Logistics,Contractor-Pinnacle Contractors,Foreman,Water leakage from a faucet reported in the site canteen.,HIGH,
2026-03-09,UNSAFE_ACT,Site Charlie,Site Foxtrot,Pipeline Integrity,Contractor-Northstar Industrial,Engineer,Trip hazard from a loose cable was reported and fixed same day.,HIGH,
2026-05-29,UNSAFE_CONDITION,Site Bravo,Site Alpha,Pipeline Integrity,Contractor-Delta Wellsite Services,Foreman,Employee suggestion box was overflowing and needs regular clearing.,MODERATE,
2026-07-08,UNSAFE_ACT,Site Delta,Site Charlie,Pipeline Integrity,Contractor-Meridian Fabrication,Operator,Housekeeping issue noted in the tool storage area.,HIGH,
2026-05-19,UNSAFE_CONDITION,Site Delta,Site Bravo,Drilling,Contractor-Pinnacle Contractors,Site Supervisor,"Minor vehicle scratch reported during routine parking maneuver, no injury.",LOW,
2026-08-23,NEAR_MISS,Site Charlie,Site Echo,Drilling,Contractor-Pinnacle Contractors,Operator,Oxygen levels were not checked before crew entered the storage vessel.,HIGH,confined_space
2026-07-20,NEAR_MISS,Site Delta,Site Bravo,Logistics,Contractor-Pinnacle Contractors,Technician,Housekeeping issue noted in the tool storage area.,MODERATE,
2026-03-28,NEAR_MISS,Site Bravo,Site Alpha,Drilling,Contractor-Redline Maintenance Group,Engineer,Minor spill of lubricant was cleaned up promptly with no injury.,LOW,
2026-06-18,UNSAFE_CONDITION,Site Alpha,Site Charlie,Pipeline Integrity,Contractor-Ironclad Scaffolding,Foreman,Noise levels in the compressor room exceeded comfort but PPE was in use.,LOW,
2026-06-08,NEAR_MISS,Site Echo,Site Bravo,Logistics,Contractor-Coastal Logistics,Safety Officer,Temporary lighting was insufficient in the storage yard at night.,MODERATE,
2026-08-05,UNSAFE_CONDITION,Site Echo,Site Bravo,Maintenance,Contractor-Redline Maintenance Group,Operator,"Minor vehicle scratch reported during routine parking maneuver, no injury.",LOW,
2026-06-24,NEAR_MISS,Site Delta,Site Charlie,Pipeline Integrity,Contractor-Northstar Industrial,Engineer,Waste segregation bins were not properly labeled at the site office.,LOW,
2026-07-13,UNSAFE_ACT,Site Charlie,Site Bravo,Operations,Contractor-Redline Maintenance Group,Engineer,Trip hazard from a loose cable was reported and fixed same day.,HIGH,
2026-03-27,UNSAFE_ACT,Site Delta,Site Alpha,Drilling,Contractor-Vantage Energy Services,Technician,"Minor vehicle scratch reported during routine parking maneuver, no injury.",MODERATE,
2026-05-02,UNSAFE_CONDITION,Site Foxtrot,Site Echo,Pipeline Integrity,Contractor-Orion Field Services,Safety Officer,Water leakage from a faucet reported in the site canteen.,LOW,
2026-07-06,UNSAFE_ACT,Site Delta,Site Alpha,HSE,Contractor-Summit Rigging Co,Foreman,Fall arrest lanyard was not connected during crane basket operation.,MODERATE,working_at_height
2026-04-11,NEAR_MISS,Site Foxtrot,Site Alpha,Operations,Contractor-Beacon Electrical Works,Site Supervisor,Signage for emergency assembly point was faded and needs replacement.,LOW,
2026-06-13,UNSAFE_CONDITION,Site Charlie,Site Charlie,Drilling,Contractor-Delta Wellsite Services,Technician,Fall protection was not used while inspecting the flare stack platform.,LOW,working_at_height
2026-07-09,NEAR_MISS,Site Foxtrot,Site Alpha,Logistics,Contractor-Summit Rigging Co,Technician,Trip hazard from a loose cable was reported and fixed same day.,HIGH,
2026-07-29,UNSAFE_ACT,Site Delta,Site Foxtrot,Logistics,Contractor-Atlas Mechanical,Safety Officer,Noise levels in the compressor room exceeded comfort but PPE was in use.,HIGH,
2026-08-20,UNSAFE_ACT,Site Echo,Site Foxtrot,Operations,Contractor-Northstar Industrial,Foreman,Minor spill of lubricant was cleaned up promptly with no injury.,MODERATE,
2026-08-01,NEAR_MISS,Site Foxtrot,Site Charlie,Maintenance,Contractor-Redline Maintenance Group,Foreman,Water leakage from a faucet reported in the site canteen.,MODERATE,
2026-07-12,NEAR_MISS,Site Echo,Site Alpha,Pipeline Integrity,Contractor-Vantage Energy Services,Operator,Fire extinguisher inspection tag found expired in the break room.,MODERATE,
2026-07-09,UNSAFE_CONDITION,Site Echo,Site Delta,Logistics,Contractor-Northstar Industrial,Safety Officer,Minor spill of lubricant was cleaned up promptly with no injury.,MODERATE,
2026-07-15,UNSAFE_CONDITION,Site Bravo,Site Charlie,Drilling,Contractor-Pinnacle Contractors,Safety Officer,Housekeeping issue noted in the tool storage area.,HIGH,
2026-06-03,UNSAFE_CONDITION,Site Charlie,Site Foxtrot,HSE,Contractor-Pinnacle Contractors,Safety Officer,Temporary lighting was insufficient in the storage yard at night.,LOW,
2026-03-03,NEAR_MISS,Site Alpha,Site Charlie,Pipeline Integrity,Contractor-Vantage Energy Services,Technician,Minor spill of lubricant was cleaned up promptly with no injury.,HIGH,
2026-04-22,NEAR_MISS,Site Alpha,Site Delta,Logistics,Contractor-Vantage Energy Services,Site Supervisor,Fire extinguisher inspection tag found expired in the break room.,HIGH,
2026-06-26,NEAR_MISS,Site Delta,Site Echo,Logistics,Contractor-Summit Rigging Co,Operator,Housekeeping issue noted in the tool storage area.,LOW,
2026-04-13,UNSAFE_CONDITION,Site Charlie,Site Charlie,Logistics,Contractor-Redline Maintenance Group,Safety Officer,Expired permit was used to authorize work on the process unit.,HIGH,permit_to_work
2026-08-18,UNSAFE_CONDITION,Site Alpha,Site Bravo,Logistics,Contractor-Orion Field Services,Site Supervisor,First aid kit in the workshop was missing a few items.,HIGH,
2026-08-12,UNSAFE_ACT,Site Delta,Site Charlie,HSE,Contractor-Ironclad Scaffolding,Technician,Signage for emergency assembly point was faded and needs replacement.,HIGH,
2026-08-01,UNSAFE_ACT,Site Delta,Site Echo,Maintenance,Contractor-Vantage Energy Services,Operator,Housekeeping issue noted in the tool storage area.,HIGH,
2026-08-16,NEAR_MISS,Site Foxtrot,Site Echo,Operations,Contractor-Summit Rigging Co,Engineer,Employee suggestion box was overflowing and needs regular clearing.,HIGH,
2026-06-07,NEAR_MISS,Site Delta,Site Foxtrot,Drilling,Contractor-Meridian Fabrication,Engineer,Housekeeping issue noted in the tool storage area.,HIGH,
2026-08-13,UNSAFE_CONDITION,Site Bravo,Site Echo,HSE,Contractor-Northstar Industrial,Technician,First aid kit in the workshop was missing a few items.,LOW,
2026-05-20,UNSAFE_CONDITION,Site Echo,Site Delta,Maintenance,Contractor-Pinnacle Contractors,Technician,Trip hazard from a loose cable was reported and fixed same day.,HIGH,
2026-06-05,UNSAFE_ACT,Site Delta,Site Alpha,Drilling,Contractor-Ironclad Scaffolding,Site Supervisor,Housekeeping issue noted in the tool storage area.,LOW,
2026-08-10,NEAR_MISS,Site Echo,Site Alpha,Operations,Contractor-Pinnacle Contractors,Engineer,Truck reversed into a restricted pedestrian zone without a signal.,MODERATE,vehicle_pedestrian
2026-08-19,NEAR_MISS,Site Alpha,Site Echo,Operations,Contractor-Redline Maintenance Group,Engineer,LOTO checklist was not verified before crew began work on the compressor.,HIGH,electrical_isolation
2026-08-17,NEAR_MISS,Site Delta,Site Bravo,Logistics,Contractor-Redline Maintenance Group,Engineer,Electrical panel remained live during scheduled inspection.,LOW,electrical_isolation
2026-05-12,UNSAFE_CONDITION,Site Charlie,Site Charlie,Operations,Contractor-Summit Rigging Co,Safety Officer,Temporary lighting was insufficient in the storage yard at night.,HIGH,
2026-08-02,UNSAFE_CONDITION,Site Alpha,Site Alpha,Pipeline Integrity,Contractor-Vantage Energy Services,Site Supervisor,Fire extinguisher inspection tag found expired in the break room.,HIGH,
2026-06-05,UNSAFE_ACT,Site Delta,Site Echo,Pipeline Integrity,Contractor-Summit Rigging Co,Foreman,Noise levels in the compressor room exceeded comfort but PPE was in use.,HIGH,
2026-02-28,UNSAFE_ACT,Site Charlie,Site Charlie,Pipeline Integrity,Contractor-Pinnacle Contractors,Technician,Housekeeping issue noted in the tool storage area.,HIGH,
2026-03-24,UNSAFE_CONDITION,Site Foxtrot,Site Foxtrot,Drilling,Contractor-Meridian Fabrication,Operator,"Minor vehicle scratch reported during routine parking maneuver, no injury.",MODERATE,
2026-06-12,UNSAFE_CONDITION,Site Bravo,Site Alpha,HSE,Contractor-Atlas Mechanical,Safety Officer,Housekeeping issue noted in the tool storage area.,HIGH,
2026-06-24,NEAR_MISS,Site Bravo,Site Echo,Operations,Contractor-Summit Rigging Co,Foreman,Fire extinguisher inspection tag found expired in the break room.,MODERATE,
2026-04-14,UNSAFE_ACT,Site Delta,Site Foxtrot,Operations,Contractor-Redline Maintenance Group,Safety Officer,Housekeeping issue noted in the tool storage area.,MODERATE,
2026-08-24,NEAR_MISS,Site Foxtrot,Site Alpha,Logistics,Contractor-Beacon Electrical Works,Foreman,Waste segregation bins were not properly labeled at the site office.,MODERATE,
2026-07-06,UNSAFE_CONDITION,Site Alpha,Site Foxtrot,Operations,Contractor-Northstar Industrial,Site Supervisor,First aid kit in the workshop was missing a few items.,HIGH,
2026-03-05,NEAR_MISS,Site Foxtrot,Site Echo,HSE,Contractor-Coastal Logistics,Site Supervisor,Employee suggestion box was overflowing and needs regular clearing.,HIGH,
2026-07-16,NEAR_MISS,Site Charlie,Site Foxtrot,HSE,Contractor-Coastal Logistics,Technician,Housekeeping issue noted in the tool storage area.,LOW,
2026-06-05,UNSAFE_ACT,Site Foxtrot,Site Alpha,Drilling,Contractor-Beacon Electrical Works,Operator,Fire extinguisher inspection tag found expired in the break room.,MODERATE,
2026-04-21,UNSAFE_CONDITION,Site Foxtrot,Site Charlie,HSE,Contractor-Beacon Electrical Works,Safety Officer,Work was carried out without permit verification by the shift supervisor.,HIGH,permit_to_work
2026-05-20,UNSAFE_CONDITION,Site Delta,Site Foxtrot,HSE,Contractor-Vantage Energy Services,Technician,Water leakage from a faucet reported in the site canteen.,LOW,
2026-06-06,UNSAFE_CONDITION,Site Charlie,Site Foxtrot,Drilling,Contractor-Summit Rigging Co,Site Supervisor,Housekeeping issue noted in the tool storage area.,HIGH,
